cite_id	paper_title	venue	year	method	dataset	metric	score	backbone	split	notes
sturua2024jinav3	"jina-embeddings-v3"	"arXiv 2024"	2024	"Jina v3"	"MTEB Multilingual Retrieval"	"nDCG@10"	57.98	"XLM-RoBERTa"	test	""
zhu2024longembed	"LongEmbed"	"EMNLP 2024"	2024	"E5-Mistral + NTK 32k"	"LongEmbed Avg"	"nDCG@10"	75.3	"Mistral-7B"	test	""
zhu2024longembed	"LongEmbed"	"EMNLP 2024"	2024	"E5-RoPE-Base + SelfExtend"	"LongEmbed Avg"	"nDCG@10"	60.8	"E5-RoPE-Base"	test	"4k context"
yoon2024matryoshka	"Matryoshka-Adaptor"	"EMNLP 2024"	2024	"Matryoshka-Adaptor (supervised)"	BEIR	"nDCG@10"	0.5714	"Google Gecko"	test	"256 dimensions"
yoon2024matryoshka	"Matryoshka-Adaptor"	"EMNLP 2024"	2024	"Matryoshka-Adaptor (unsupervised)"	BEIR	"nDCG@10"	0.4845	"OpenAI text-embedding-3-large"	test	"64 dimensions"
zhuang2024promptreps	PromptReps	"EMNLP 2024"	2024	"PromptReps Hybrid"	"BEIR Average"	"nDCG@10"	45.97	"Llama3-8B-Instruct"	test	""
zhuang2024promptreps	PromptReps	"EMNLP 2024"	2024	"PromptReps Dense"	"TREC DL19"	"nDCG@10"	50.62	"Llama3-8B-Instruct"	test	""
zhuang2024promptreps	PromptReps	"EMNLP 2024"	2024	"PromptReps Hybrid"	"TREC DL19"	"nDCG@10"	55.58	"Llama3-8B-Instruct"	test	""
zhuang2024promptreps	PromptReps	"EMNLP 2024"	2024	"PromptReps Hybrid"	"TREC DL20"	"nDCG@10"	56.66	"Llama3-8B-Instruct"	test	""
zhuang2024promptreps	PromptReps	"EMNLP 2024"	2024	"PromptReps (supervised)"	"MS MARCO Dev"	"MRR@10"	42.58	"Llama3-8B-Instruct"	dev	"490k training"
zhuang2024promptreps	PromptReps	"EMNLP 2024"	2024	"PromptReps Hybrid+BM25"	"BEIR Average"	"nDCG@10"	50.66	"Llama3-70B-Instruct"	test	""
bruch2024seismic	Seismic	"SIGIR 2024"	2024	Seismic	"MS MARCO"	"Latency (usec/query at 90%)"	187	SPLADE	dev	""
bruch2024seismic	Seismic	"SIGIR 2024"	2024	Seismic	"MS MARCO"	"Latency (usec/query at 95%)"	303	SPLADE	dev	""
bruch2024seismic	Seismic	"SIGIR 2024"	2024	Seismic	"MS MARCO"	"Latency (usec/query at 90%)"	115	"uniCoil-T5"	dev	""
nguyen2024dyvo	DyVo	"EMNLP 2024"	2024	"DyVo (GPT4, LaQue)"	"TREC Robust04"	"nDCG@10"	54.39	DistilBERT	test	""
nguyen2024dyvo	DyVo	"EMNLP 2024"	2024	"DyVo (GPT4, LaQue)"	"TREC Robust04"	"R@1000"	70.86	DistilBERT	test	""
nguyen2024dyvo	DyVo	"EMNLP 2024"	2024	"DyVo (GPT4, LaQue)"	"Core 2018"	"nDCG@10"	43.06	DistilBERT	test	""
nguyen2024dyvo	DyVo	"EMNLP 2024"	2024	"DyVo (GPT4, LaQue)"	CODEC	"nDCG@10"	56.46	DistilBERT	test	""
formal2024splate	SPLATE	"SIGIR 2024"	2024	SPLATE	"MS MARCO Dev"	"MRR@10"	40.0	ColBERTv2	dev	"e2e, k=50"
formal2024splate	SPLATE	"SIGIR 2024"	2024	SPLATE	BEIR	"nDCG@10"	74.2	ColBERTv2	test	""
formal2024splate	SPLATE	"SIGIR 2024"	2024	SPLATE	LoTTE	"Success@5"	71.0	ColBERTv2	test	""
scheerer2025warp	WARP	"SIGIR 2025"	2025	WARP	"LoTTE Pooled"	"Latency (ms)"	171.3	XTR	test	"Single-threaded"
scheerer2025warp	WARP	"SIGIR 2025"	2025	WARP	"LoTTE Pooled"	"Success@5"	69.3	XTR	test	""
scheerer2025warp	WARP	"SIGIR 2025"	2025	WARP	"LoTTE Average"	"Success@5"	70.3	XTR	test	""
reddy2024agrame	AGRaME	"EMNLP 2024"	2024	AGRaME	"Natural Questions"	"P@1 (sentence)"	36.8	ColBERTv2	test	"Passage-level encoding"
reddy2024agrame	AGRaME	"EMNLP 2024"	2024	AGRaME	"Natural Questions"	"R@5 (sentence)"	60.5	ColBERTv2	test	""
reddy2024agrame	AGRaME	"EMNLP 2024"	2024	AGRaME	TriviaQA	"P@1 (sentence)"	48.9	ColBERTv2	test	""
reddy2024agrame	AGRaME	"EMNLP 2024"	2024	AGRaME	PropSegmEnt	"P@1 (proposition)"	47.7	ColBERTv2	test	""
wu2024grmvdr	"Generative Retrieval as MVDR"	"SIGIR 2024"	2024	"MVDR (q->d)"	NQ320K	"R@1"	61.3	T5	test	"Rerank setting"
wu2024grmvdr	"Generative Retrieval as MVDR"	"SIGIR 2024"	2024	"MVDR (q->d)"	NQ320K	"R@10"	91.9	T5	test	""
wu2024grmvdr	"Generative Retrieval as MVDR"	"SIGIR 2024"	2024	"MVDR (q->d)"	"MS MARCO"	"R@1"	46.5	T5	test	""
zhang2024tsgen	TSGen	"SIGIR 2024"	2024	TSGen	NQ320K	"MRR@10"	0.771	"T5-base"	test	""
zhang2024tsgen	TSGen	"SIGIR 2024"	2024	TSGen	NQ320K	"R@1"	0.708	"T5-base"	test	""
zhang2024tsgen	TSGen	"SIGIR 2024"	2024	TSGen	NQ320K	"R@10"	0.889	"T5-base"	test	""
zhang2024tsgen	TSGen	"SIGIR 2024"	2024	TSGen	NQ320K	"R@100"	0.948	"T5-base"	test	""
zhang2024tsgen	TSGen	"SIGIR 2024"	2024	TSGen	MS300K	"MRR@10"	0.502	"T5-base"	test	""
zhang2024tsgen	TSGen	"SIGIR 2024"	2024	TSGen	MS300K	"R@1"	0.384	"T5-base"	test	""
zhang2024tsgen	TSGen	"SIGIR 2024"	2024	TSGen	MS300K	"R@10"	0.781	"T5-base"	test	""
tang2024selfretrieval	Self-Retrieval	"NeurIPS 2024"	2024	Self-Retrieval	NQ320K	"R@1"	73.3	"Llama 2 7B"	test	""
tang2024selfretrieval	Self-Retrieval	"NeurIPS 2024"	2024	Self-Retrieval	NQ320K	"R@10"	92.6	"Llama 2 7B"	test	""
tang2024selfretrieval	Self-Retrieval	"NeurIPS 2024"	2024	Self-Retrieval	NQ320K	"MRR@100"	80.7	"Llama 2 7B"	test	""
tang2024selfretrieval	Self-Retrieval	"NeurIPS 2024"	2024	Self-Retrieval	"MS MARCO"	"MRR@10"	57.2	"Llama 2 7B"	test	""
tang2024selfretrieval	Self-Retrieval	"NeurIPS 2024"	2024	Self-Retrieval	"NQ (passage)"	"H@1"	63.44	"Llama 2 7B"	test	""
tang2024selfretrieval	Self-Retrieval	"NeurIPS 2024"	2024	Self-Retrieval	"NQ (passage)"	"H@5"	79.29	"Llama 2 7B"	test	""
tang2024selfretrieval	Self-Retrieval	"NeurIPS 2024"	2024	Self-Retrieval	"TriviaQA (passage)"	"H@1"	59.94	"Llama 2 7B"	test	""
tang2024selfretrieval	Self-Retrieval	"NeurIPS 2024"	2024	Self-Retrieval	"NQ RAG 40K"	EM	52.98	"Llama 2 7B"	test	""
zhuang2024setwise	"Setwise Ranking"	"SIGIR 2024"	2024	"Setwise bubblesort"	"TREC DL19"	"nDCG@10"	0.678	"Flan-T5-large"	test	""
zhuang2024setwise	"Setwise Ranking"	"SIGIR 2024"	2024	"Setwise bubblesort"	"TREC DL20"	"nDCG@10"	0.624	"Flan-T5-large"	test	""
zhuang2024setwise	"Setwise Ranking"	"SIGIR 2024"	2024	"Setwise bubblesort"	"BEIR Average"	"nDCG@10"	0.483	"Flan-T5-large"	test	""
zhuang2024setwise	"Setwise Ranking"	"SIGIR 2024"	2024	"Setwise heapsort"	"TREC DL19"	"Latency (sec)"	8.0	"Flan-T5-large"	test	""
reddy2024first	FIRST	"EMNLP 2024"	2024	FIRST	"Climate FEVER"	"nDCG@10"	54.3	"Zephyr-beta 7B"	test	""
reddy2024first	FIRST	"EMNLP 2024"	2024	FIRST	DBPedia	"nDCG@10"	50.9	"Zephyr-beta 7B"	test	""
reddy2024first	FIRST	"EMNLP 2024"	2024	FIRST	FEVER	"nDCG@10"	81.7	"Zephyr-beta 7B"	test	""
reddy2024first	FIRST	"EMNLP 2024"	2024	FIRST	FiQA	"nDCG@10"	42.2	"Zephyr-beta 7B"	test	""
reddy2024first	FIRST	"EMNLP 2024"	2024	FIRST	"Hotpot QA"	"nDCG@10"	74.2	"Zephyr-beta 7B"	test	""
reddy2024first	FIRST	"EMNLP 2024"	2024	FIRST	"MS MARCO"	"nDCG@10"	44.4	"Zephyr-beta 7B"	test	""
reddy2024first	FIRST	"EMNLP 2024"	2024	FIRST	NFCorpus	"nDCG@10"	37.4	"Zephyr-beta 7B"	test	""
reddy2024first	FIRST	"EMNLP 2024"	2024	FIRST	NQ	"nDCG@10"	66.4	"Zephyr-beta 7B"	test	""
reddy2024first	FIRST	"EMNLP 2024"	2024	FIRST	SciFact	"nDCG@10"	74.6	"Zephyr-beta 7B"	test	""
reddy2024first	FIRST	"EMNLP 2024"	2024	FIRST	TREC-COVID	"nDCG@10"	78.8	"Zephyr-beta 7B"	test	""
yoon2024listt5	ListT5	"ACL 2024"	2024	"ListT5-base"	"BEIR Average"	"nDCG@10"	50.9	"T5-base"	test	"BM25 Top-100"
yoon2024listt5	ListT5	"ACL 2024"	2024	"ListT5-3B"	"BEIR Average"	"nDCG@10"	53.0	"T5-3B"	test	""
yoon2024listt5	ListT5	"ACL 2024"	2024	"ListT5-base"	TREC-COVID	"nDCG@10"	78.3	"T5-base"	test	""
yoon2024listt5	ListT5	"ACL 2024"	2024	"ListT5-base"	Quora	"nDCG@10"	86.4	"T5-base"	test	""
ji2025reason2rank	Reason-to-Rank	"SIGIR 2025"	2025	"R2R Student"	"TREC DL19"	"nDCG@10"	73.8	"LLaMA 3.1 8B"	test	""
ji2025reason2rank	Reason-to-Rank	"SIGIR 2025"	2025	"R2R Student"	"TREC DL20"	"nDCG@10"	71.22	"LLaMA 3.1 8B"	test	""
ji2025reason2rank	Reason-to-Rank	"SIGIR 2025"	2025	"R2R Student"	"TREC DL19"	"nDCG@5"	75.4	"LLaMA 3.1 8B"	test	"Both reasoning types"
ji2025reason2rank	Reason-to-Rank	"SIGIR 2025"	2025	"R2R Student"	"TREC DL20"	"nDCG@5"	72.4	"LLaMA 3.1 8B"	test	""
yu2024rankrag	RankRAG	"NeurIPS 2024"	2024	"RankRAG 8B"	NQ	EM	50.6	"Llama 3 8B"	test	""
yu2024rankrag	RankRAG	"NeurIPS 2024"	2024	"RankRAG 70B"	NQ	EM	54.2	"Llama 3 70B"	test	""
yu2024rankrag	RankRAG	"NeurIPS 2024"	2024	"RankRAG 8B"	TriviaQA	EM	82.9	"Llama 3 8B"	test	""
yu2024rankrag	RankRAG	"NeurIPS 2024"	2024	"RankRAG 70B"	TriviaQA	EM	86.5	"Llama 3 70B"	test	""
yu2024rankrag	RankRAG	"NeurIPS 2024"	2024	"RankRAG 8B"	FEVER	Accuracy	92.0	"Llama 3 8B"	test	""
yu2024rankrag	RankRAG	"NeurIPS 2024"	2024	"RankRAG 70B"	FEVER	Accuracy	93.8	"Llama 3 70B"	test	""
yu2024rankrag	RankRAG	"NeurIPS 2024"	2024	"RankRAG 70B"	NQ	"R@5"	80.3	"Llama 3 70B"	test	"Ranking performance"
yu2024rankrag	RankRAG	"NeurIPS 2024"	2024	"RankRAG 70B"	"Biomedical Avg"	Accuracy	78.06	"Llama 3 70B"	test	"Mirage benchmark"
faysse2024colpali	ColPali	"arXiv 2024"	2024	ColPali	"ViDoRe Average"	"nDCG@5"	81.3	"PaliGemma-3B"	test	""
faysse2024colpali	ColPali	"arXiv 2024"	2024	ColPali	ArxivQA	"nDCG@5"	79.1	"PaliGemma-3B"	test	""
faysse2024colpali	ColPali	"arXiv 2024"	2024	ColPali	DocVQA	"nDCG@5"	54.4	"PaliGemma-3B"	test	""
faysse2024colpali	ColPali	"arXiv 2024"	2024	ColPali	InfoVQA	"nDCG@5"	81.8	"PaliGemma-3B"	test	""
faysse2024colpali	ColPali	"arXiv 2024"	2024	ColPali	TabFQuAD	"nDCG@5"	83.9	"PaliGemma-3B"	test	""
ma2024dse	DSE	"EMNLP 2024"	2024	DSE	"NQ Wikipedia"	"Top-1 Accuracy"	46.2	"Phi-3-vision"	test	""
ma2024dse	DSE	"EMNLP 2024"	2024	DSE	"NQ Wikipedia"	"Top-20 Accuracy"	77.6	"Phi-3-vision"	test	""
ma2024dse	DSE	"EMNLP 2024"	2024	DSE	"SlideVQA-open"	"nDCG@10"	75.3	"Phi-3-vision"	test	""
ma2024dse	DSE	"EMNLP 2024"	2024	DSE	"SlideVQA-open"	"Recall@10"	84.6	"Phi-3-vision"	test	""
su2025bright	BRIGHT	"ICLR 2025"	2025	"SFR-Embedding-Mistral"	BRIGHT	"nDCG@10"	18.3	"SFR-Mistral"	test	"Best model on BRIGHT"
su2025bright	BRIGHT	"ICLR 2025"	2025	"SFR-Embedding-Mistral"	"MTEB Standard"	"nDCG@10"	59.0	"SFR-Mistral"	test	"Same model, standard benchmarks"
zhou2025beyondcontent	"Beyond Content Relevance"	"ICLR 2025"	2025	"GPT-4o (listwise)"	InfoSearch	WISE	33.5	GPT-4o	test	""
zhou2025beyondcontent	"Beyond Content Relevance"	"ICLR 2025"	2025	"GPT-4o (listwise)"	InfoSearch	SICR	32.1	GPT-4o	test	""
zhou2025beyondcontent	"Beyond Content Relevance"	"ICLR 2025"	2025	"Llama-3.1 (pointwise)"	InfoSearch	WISE	14.4	"Llama-3.1"	test	""
zhou2025beyondcontent	"Beyond Content Relevance"	"ICLR 2025"	2025	GritLM	InfoSearch	WISE	-11.1	GritLM	test	"Dense retrieval"
zeng2024pag	PAG	"SIGIR 2024"	2024	PAG	"MS MARCO"	"MRR improvement"	15.6	"Generative model"	dev	"Relative improvement over SOTA"
carlson2025superblock	"Dynamic Superblock Pruning"	"SIGIR 2025"	2025	SP	"MS MARCO"	"MRR@10"	38.1	SPLADE	dev	"Rank-safe"
carlson2025superblock	"Dynamic Superblock Pruning"	"SIGIR 2025"	2025	SP	"MS MARCO"	"Latency (ms, k=10)"	0.629	SPLADE	dev	"Rank-safe"
carlson2025superblock	"Dynamic Superblock Pruning"	"SIGIR 2025"	2025	SP	"MS MARCO"	"Latency (ms, k=1000)"	1.74	SPLADE	dev	"Rank-safe"
carlson2025superblock	"Dynamic Superblock Pruning"	"SIGIR 2025"	2025	SP	"MS MARCO"	"Latency (ms, k=10, E-SPLADE)"	0.394	"E-SPLADE"	dev	"99% recall"
mackenzie2025inferencefree	"Effective Inference-Free Retrieval"	"SIGIR 2025"	2025	"Li-Lsr Big"	"MS MARCO"	"MRR@10"	40.8	"Li-Lsr"	dev	"Inference-free"
mackenzie2025inferencefree	"Effective Inference-Free Retrieval"	"SIGIR 2025"	2025	"Li-Lsr Big"	BEIR	"nDCG@10"	51.0	"Li-Lsr"	test	""
mackenzie2025inferencefree	"Effective Inference-Free Retrieval"	"SIGIR 2025"	2025	"Li-Lsr Big"	"TREC DL19"	"nDCG@10"	72.1	"Li-Lsr"	test	""
mackenzie2025inferencefree	"Effective Inference-Free Retrieval"	"SIGIR 2025"	2025	"Li-Lsr Big"	"TREC DL20"	"nDCG@10"	70.5	"Li-Lsr"	test	""
sigir2025tokenpruning	"Lossless Token Pruning"	"SIGIR 2025"	2025	"Token Pruning"	"MS MARCO Dev"	"MRR@10"	39.7	ColBERTv2	dev	"40% tokens retained"
sigir2025tokenpruning	"Lossless Token Pruning"	"SIGIR 2025"	2025	"Token Pruning"	"TREC DL19"	"nDCG@10"	73.8	ColBERTv2	test	"32% tokens retained"
sigir2025tokenpruning	"Lossless Token Pruning"	"SIGIR 2025"	2025	"Token Pruning"	"TREC DL20"	"nDCG@10"	73.3	ColBERTv2	test	"32% tokens retained"
sigir2025tokenpruning	"Lossless Token Pruning"	"SIGIR 2025"	2025	"Token Pruning"	BEIR	"nDCG@10"	45.7	ColBERTv2	test	"37% tokens retained"
sigir2025tokenpruning	"Lossless Token Pruning"	"SIGIR 2025"	2025	"Token Pruning"	LoTTE	"Success@5"	71.3	ColBERTv2	test	"35% tokens retained"
emnlp2024consolidating	"Consolidating Ranking and Relevance"	"EMNLP 2024"	2024	"Constrained Regression"	"TREC DL19"	"nDCG@10"	0.7265	LLM	test	"Best variant"
emnlp2024consolidating	"Consolidating Ranking and Relevance"	"EMNLP 2024"	2024	"Constrained Regression"	"TREC DL20"	"nDCG@10"	0.7054	LLM	test	"Best variant"
emnlp2024consolidating	"Consolidating Ranking and Relevance"	"EMNLP 2024"	2024	"Constrained Regression"	TREC-COVID	"nDCG@10"	0.822	LLM	test	"Best variant"
sigir2025qder	QDER	"SIGIR 2025"	2025	QDER	"TREC Robust04"	"nDCG@20"	0.7694	"BERT+Wiki2Vec"	test	"Title queries, +36% over CEDR"
sigir2025qder	QDER	"SIGIR 2025"	2025	QDER	"TREC Robust04"	MAP	0.6082	"BERT+Wiki2Vec"	test	"+64% over CEDR"
sigir2025qder	QDER	"SIGIR 2025"	2025	QDER	"TREC Robust04"	MRR	0.9751	"BERT+Wiki2Vec"	test	""
sigir2025qder	QDER	"SIGIR 2025"	2025	QDER	"TREC Core 2018"	"nDCG@20"	0.6562	"BERT+Wiki2Vec"	test	""
sigir2025neuralrep	Hypencoder	"SIGIR 2025"	2025	Hypencoder	"TREC DL19+20"	"nDCG@10"	0.736	BERT	test	"Query-dependent neural scoring"
sigir2025neuralrep	Hypencoder	"SIGIR 2025"	2025	Hypencoder	"MS MARCO Dev"	"RR@10"	0.386	BERT	dev	""
sigir2025neuralrep	Hypencoder	"SIGIR 2025"	2025	Hypencoder	"TREC DL-HARD"	"nDCG@10"	0.63	BERT	test	""
sigir2025pointwise	"GCCP/PAGC Pointwise Ranking"	"SIGIR 2025"	2025	PAGC-QSG	"TREC DL19"	"nDCG@10"	0.7068	"Flan-T5-xl"	test	"Zero-shot"
sigir2025pointwise	"GCCP/PAGC Pointwise Ranking"	"SIGIR 2025"	2025	PAGC-QSG	"TREC DL20"	"nDCG@10"	0.6872	"Flan-T5-xl"	test	"Zero-shot"
sigir2025pointwise	"GCCP/PAGC Pointwise Ranking"	"SIGIR 2025"	2025	PAGC-QSG	"BEIR Average"	"nDCG@10"	0.4916	"Flan-T5-xl"	test	"Zero-shot"
sigir2025scalingparadigms	"Scaling Sparse and Dense Retrieval"	"SIGIR 2025"	2025	"Lion-SP-8B"	"MS MARCO Dev"	"MRR@10"	0.417	"Llama-3 8B"	dev	"Sparse"
sigir2025scalingparadigms	"Scaling Sparse and Dense Retrieval"	"SIGIR 2025"	2025	"Lion-SP-8B"	"TREC DL19+20"	"nDCG@10"	0.758	"Llama-3 8B"	test	"Sparse"
sigir2025scalingparadigms	"Scaling Sparse and Dense Retrieval"	"SIGIR 2025"	2025	"Lion-SP-8B"	BEIR	"nDCG@10"	0.552	"Llama-3 8B"	test	"Sparse"
sigir2025scalingparadigms	"Scaling Sparse and Dense Retrieval"	"SIGIR 2025"	2025	"Lion-DS-8B"	"MS MARCO Dev"	"MRR@10"	0.417	"Llama-3 8B"	dev	"Dense"
sigir2025scalingparadigms	"Scaling Sparse and Dense Retrieval"	"SIGIR 2025"	2025	"Lion-DS-8B"	"TREC DL19+20"	"nDCG@10"	0.755	"Llama-3 8B"	test	"Dense"
sigir2025scalingparadigms	"Scaling Sparse and Dense Retrieval"	"SIGIR 2025"	2025	"Lion-DS-8B"	BEIR	"nDCG@10"	0.501	"Llama-3 8B"	test	"Dense"
lassance2024spladev3	"SPLADE-v3"	"arXiv 2024"	2024	"SPLADE-v3"	"MS MARCO Dev"	"MRR@10"	40.2	"BERT (SPLADE)"	dev	""
lassance2024spladev3	"SPLADE-v3"	"arXiv 2024"	2024	"SPLADE-v3"	BEIR	"nDCG@10"	51.7	"BERT (SPLADE)"	test	""
lassance2024spladev3	"SPLADE-v3"	"arXiv 2024"	2024	"SPLADE-v3"	"TREC DL19"	"nDCG@10"	72.3	"BERT (SPLADE)"	test	""
lassance2024spladev3	"SPLADE-v3"	"arXiv 2024"	2024	"SPLADE-v3"	"TREC DL20"	"nDCG@10"	75.4	"BERT (SPLADE)"	test	""
lassance2024spladev3	"SPLADE-v3"	"arXiv 2024"	2024	"SPLADE-v3-DistilBERT"	"MS MARCO Dev"	"MRR@10"	38.7	DistilBERT	dev	""
lassance2024spladev3	"SPLADE-v3"	"arXiv 2024"	2024	"SPLADE-v3-DistilBERT"	"TREC DL19"	"nDCG@10"	75.2	DistilBERT	test	""
nussbaum2024nomic	"Nomic Embed"	"arXiv 2024"	2024	"nomic-embed-text-v1"	MTEB	"Average Score"	62.39	NomicBERT	test	"137M params"
nussbaum2024nomic	"Nomic Embed"	"arXiv 2024"	2024	"nomic-embed-text-v1"	"MTEB Retrieval"	"nDCG@10"	52.8	NomicBERT	test	""
nussbaum2024nomic	"Nomic Embed"	"arXiv 2024"	2024	"nomic-embed-text-v1"	LoCo	"Average Score"	85.53	NomicBERT	test	"Long-context"
lee2024gecko	"Gecko: Versatile Text Embeddings"	"arXiv 2024"	2024	"Gecko-1B-768"	"MTEB Retrieval"	"nDCG@10"	55.7	"Gecko 1.2B"	test	""
lee2024gecko	"Gecko: Versatile Text Embeddings"	"arXiv 2024"	2024	"Gecko-1B-768"	"MTEB STS"	"Average Score"	85.06	"Gecko 1.2B"	test	""
mao2024chatretriever	ChatRetriever	"EMNLP 2024"	2024	ChatRetriever	QReCC	"NDCG@3"	52.5	"Qwen-7B-Chat"	test	""
mao2024chatretriever	ChatRetriever	"EMNLP 2024"	2024	ChatRetriever	TopiOCQA	"NDCG@3"	40.1	"Qwen-7B-Chat"	test	""
mao2024chatretriever	ChatRetriever	"EMNLP 2024"	2024	ChatRetriever	CAsT-19	"NDCG@3"	52.1	"Qwen-7B-Chat"	test	""
mao2024chatretriever	ChatRetriever	"EMNLP 2024"	2024	ChatRetriever	CAsT-20	"NDCG@3"	40.0	"Qwen-7B-Chat"	test	""
mao2024chatretriever	ChatRetriever	"EMNLP 2024"	2024	ChatRetriever	CAsT-21	"NDCG@3"	49.6	"Qwen-7B-Chat"	test	""
cheng2024xrag	xRAG	"NeurIPS 2024"	2024	"xRAG (Mistral-7b)"	NQ	EM	39.1	"Mistral-7B"	test	""
cheng2024xrag	xRAG	"NeurIPS 2024"	2024	"xRAG (Mistral-7b)"	TriviaQA	EM	65.77	"Mistral-7B"	test	""
cheng2024xrag	xRAG	"NeurIPS 2024"	2024	"xRAG (Mistral-7b)"	HotpotQA	EM	34.05	"Mistral-7B"	test	""
cheng2024xrag	xRAG	"NeurIPS 2024"	2024	"xRAG (Mixtral-8x7b)"	NQ	EM	47.28	"Mixtral-8x7B"	test	""
cheng2024xrag	xRAG	"NeurIPS 2024"	2024	"xRAG (Mixtral-8x7b)"	TriviaQA	EM	74.14	"Mixtral-8x7B"	test	""
cheng2024xrag	xRAG	"NeurIPS 2024"	2024	"xRAG (Mixtral-8x7b)"	HotpotQA	EM	39.66	"Mixtral-8x7B"	test	""
lin2024radit	RA-DIT	"ICLR 2024"	2024	"RA-DIT 65B (0-shot)"	MMLU	Accuracy	64.6	"Llama 65B"	test	""
lin2024radit	RA-DIT	"ICLR 2024"	2024	"RA-DIT 65B (0-shot)"	NQ	EM	35.2	"Llama 65B"	test	""
lin2024radit	RA-DIT	"ICLR 2024"	2024	"RA-DIT 65B (0-shot)"	TriviaQA	EM	75.4	"Llama 65B"	test	""
lin2024radit	RA-DIT	"ICLR 2024"	2024	"RA-DIT 65B (5-shot)"	NQ	EM	43.9	"Llama 65B"	test	""
jiang2024e5v	E5-V	"arXiv 2024"	2024	E5-V	"STS Average"	"Average Score"	86.0	"MLLM"	test	"7 STS benchmarks"
jiang2024e5v	E5-V	"arXiv 2024"	2024	E5-V	Flickr30K	"R@1 (image retrieval)"	79.5	"MLLM"	test	"vs CLIP ViT-L 67.3"
jiang2024e5v	E5-V	"arXiv 2024"	2024	E5-V	COCO	"R@1 (image retrieval)"	52.0	"MLLM"	test	""
jiang2024e5v	E5-V	"arXiv 2024"	2024	E5-V	CIRR	"R@1"	33.9	"MLLM"	test	"Composed image retrieval"
